siteid,sitename,monitordate,aqi,so2subindex,cosubindex,o3subindex,pm10subindex,no2subindex,o38subindex,pm25subindex
85,大城,2023-10-22,49,2,3,,29,32,49,29
84,富貴角,2023-10-22,44,0,1,,32,2,44,21
83,麥寮,2023-10-22,34,5,3,,31,30,,34
80,關山,2023-10-22,35,0,2,,9,5,35,3
78,馬公,2023-10-22,42,0,1,,,3,42,26
77,金門,2023-10-22,48,8,2,,27,18,48,37
75,馬祖,2023-10-22,48,2,1,,22,7,48,27
72,埔里,2023-10-22,61,2,3,,30,10,61,53
71,復興,2023-10-22,58,8,6,,42,40,,58
70,永和,2023-10-22,30,2,2,,15,18,,30
69,竹山,2023-10-22,77,5,3,,40,27,77,75
68,中壢,2023-10-22,33,5,7,,12,33,,19
67,三重,2023-10-22,52,2,9,,18,52,,18
66,冬山,2023-10-22,33,2,2,,5,15,33,5
65,宜蘭,2023-10-22,34,2,1,,9,13,34,16
64,陽明,2023-10-22,41,2,1,,6,2,41,2
63,花蓮,2023-10-22,39,5,3,,13,18,39,13
62,臺東,2023-10-22,37,0,2,,14,8,37,10
61,恆春,2023-10-22,42,2,1,,11,2,42,7
60,潮州,2023-10-22,87,5,3,,31,8,87,54
59,屏東,2023-10-22,122,12,5,,48,22,122,76
58,小港,2023-10-22,67,18,5,,42,45,67,62
57,前鎮,2023-10-22,56,10,6,,44,37,,56
56,前金,2023-10-22,67,8,5,,47,38,67,60
54,左營,2023-10-22,74,8,5,,43,35,74,66
53,楠梓,2023-10-22,74,8,5,,42,30,74,54
52,林園,2023-10-22,93,8,3,,45,13,93,60
51,大寮,2023-10-22,70,20,6,,51,42,67,70
50,鳳山,2023-10-22,63,8,6,,43,38,,63
49,仁武,2023-10-22,80,5,5,,37,28,80,55
48,橋頭,2023-10-22,71,8,5,,41,28,71,60
47,美濃,2023-10-22,84,2,3,,35,12,84,58
46,臺南,2023-10-22,71,2,3,,37,33,71,56
45,安南,2023-10-22,67,5,3,,41,30,67,51
44,善化,2023-10-22,93,8,3,,39,28,93,63
43,新營,2023-10-22,74,8,5,,39,23,74,46
42,嘉義,2023-10-22,84,10,3,,38,23,84,62
41,臺西,2023-10-22,38,12,3,,38,28,,38
40,朴子,2023-10-22,64,12,3,,37,20,64,45
39,新港,2023-10-22,71,8,3,,41,23,71,54
38,崙背,2023-10-22,47,10,5,,35,23,46,47
37,斗六,2023-10-22,74,8,5,,42,20,74,66
36,南投,2023-10-22,64,5,3,,32,27,64,56
35,二林,2023-10-22,47,10,5,,36,32,47,36
34,線西,2023-10-22,32,12,3,,32,28,,9
33,彰化,2023-10-22,50,5,3,,29,32,50,40
32,西屯,2023-10-22,49,5,3,,26,33,49,48
31,忠明,2023-10-22,51,8,5,,26,38,51,48
30,大里,2023-10-22,64,5,5,,28,32,64,47
29,沙鹿,2023-10-22,47,2,2,,21,22,47,21
28,豐原,2023-10-22,56,10,3,,29,30,48,56
27,三義,2023-10-22,45,2,3,,17,18,45,31
26,苗栗,2023-10-22,39,8,2,,11,27,39,15
25,頭份,2023-10-22,25,2,2,,11,25,,12
24,新竹,2023-10-22,34,2,2,,7,18,34,13
23,竹東,2023-10-22,31,0,2,,7,13,31,17
22,湖口,2023-10-22,35,2,2,,14,12,35,19
21,龍潭,2023-10-22,34,2,2,,10,13,34,8
20,平鎮,2023-10-22,36,2,2,,9,12,36,8
19,觀音,2023-10-22,35,8,1,,18,13,35,23
18,大園,2023-10-22,35,2,2,,14,22,35,14
17,桃園,2023-10-22,35,2,2,,11,15,35,19
16,大同,2023-10-22,47,5,6,,20,47,,29
15,松山,2023-10-22,33,2,2,,14,33,31,18
14,古亭,2023-10-22,37,2,2,,15,20,37,23
13,萬華,2023-10-22,33,0,3,,18,33,33,23
12,中山,2023-10-22,30,2,3,,16,28,30,20
11,士林,2023-10-22,37,2,1,,14,10,37,22
10,淡水,2023-10-22,37,2,1,,16,10,37,14
9,林口,2023-10-22,36,2,2,,15,12,36,10
8,菜寮,2023-10-22,34,2,2,,17,20,34,13
7,新莊,2023-10-22,35,0,2,,14,18,35,26
6,板橋,2023-10-22,35,0,3,,14,20,35,22
5,土城,2023-10-22,35,0,2,,14,15,35,31
4,新店,2023-10-22,35,2,2,,12,18,35,15
3,萬里,2023-10-22,39,5,1,,27,15,39,18
2,汐止,2023-10-22,30,2,2,,16,30,30,20
1,基隆,2023-10-22,33,2,3,,16,20,33,23
85,大城,2023-10-21,48,5,2,,26,18,48,25
84,富貴角,2023-10-21,49,0,1,,43,2,49,34
83,麥寮,2023-10-21,31,8,2,,31,15,,23
80,關山,2023-10-21,38,2,2,,16,7,38,
78,馬公,2023-10-21,47,0,2,,,3,47,33
77,金門,2023-10-21,64,2,3,,27,15,64,45
75,馬祖,2023-10-21,54,2,3,,27,7,54,33
72,埔里,2023-10-21,54,2,3,,26,15,41,54
71,復興,2023-10-21,40,5,7,,39,40,,
70,永和,2023-10-21,38,2,5,,19,27,,38
69,竹山,2023-10-21,52,0,3,,27,25,49,52
68,中壢,2023-10-21,37,2,7,,18,37,,27
67,三重,2023-10-21,52,2,10,,19,52,,24
66,冬山,2023-10-21,35,2,3,,10,35,32,13
65,宜蘭,2023-10-21,36,2,1,,8,13,36,17
64,陽明,2023-10-21,44,5,2,,5,2,44,4
63,花蓮,2023-10-21,42,0,3,,14,20,42,13
62,臺東,2023-10-21,40,2,2,,20,13,40,10
61,恆春,2023-10-21,46,2,2,,12,2,46,7
60,潮州,2023-10-21,67,12,3,,34,10,67,63
59,屏東,2023-10-21,71,2,5,,46,27,71,71
58,小港,2023-10-21,58,8,5,,43,55,51,58
57,前鎮,2023-10-21,52,10,5,,42,35,,52
56,前金,2023-10-21,71,5,5,,42,32,71,52
54,左營,2023-10-21,100,5,5,,40,28,100,62
53,楠梓,2023-10-21,74,5,3,,38,28,74,46
52,林園,2023-10-21,93,18,3,,47,43,93,61
51,大寮,2023-10-21,64,30,5,,49,40,44,64
50,鳳山,2023-10-21,53,8,6,,36,38,,53
49,仁武,2023-10-21,87,5,5,,35,33,87,49
48,橋頭,2023-10-21,67,5,5,,39,23,67,55
47,美濃,2023-10-21,56,2,3,,35,15,54,56
46,臺南,2023-10-21,74,2,5,,38,30,74,55
45,安南,2023-10-21,61,5,3,,37,23,61,45
44,善化,2023-10-21,67,5,3,,29,20,67,40
43,新營,2023-10-21,49,8,3,,30,25,49,32
42,嘉義,2023-10-21,49,10,3,,27,22,49,49
41,臺西,2023-10-21,29,8,2,,29,17,,26
40,朴子,2023-10-21,46,8,2,,33,18,46,32
39,新港,2023-10-21,46,8,3,,33,22,46,36
38,崙背,2023-10-21,41,5,3,,30,22,41,28
37,斗六,2023-10-21,46,5,5,,28,18,46,45
36,南投,2023-10-21,38,2,3,,19,28,38,28
35,二林,2023-10-21,44,8,5,,34,20,44,39
34,線西,2023-10-21,28,8,3,,25,28,,15
33,彰化,2023-10-21,39,2,3,,17,23,39,24
32,西屯,2023-10-21,38,2,2,,16,22,38,22
31,忠明,2023-10-21,36,5,3,,14,33,36,23
30,大里,2023-10-21,35,2,5,,12,35,33,24
29,沙鹿,2023-10-21,43,0,2,,16,17,43,13
28,豐原,2023-10-21,36,2,3,,12,27,36,24
27,三義,2023-10-21,39,0,2,,9,7,39,14
26,苗栗,2023-10-21,40,8,3,,12,27,40,13
25,頭份,2023-10-21,15,2,2,,15,15,,15
24,新竹,2023-10-21,37,2,3,,14,18,37,22
23,竹東,2023-10-21,39,0,2,,8,8,39,16
22,湖口,2023-10-21,38,0,2,,22,13,38,31
21,龍潭,2023-10-21,37,2,2,,13,13,37,18
20,平鎮,2023-10-21,34,5,3,,14,22,34,20
19,觀音,2023-10-21,40,5,2,,26,22,40,36
18,大園,2023-10-21,34,10,2,,22,33,34,28
17,桃園,2023-10-21,32,5,5,,15,22,32,23
16,大同,2023-10-21,54,2,7,,20,54,,38
15,松山,2023-10-21,48,2,2,,20,48,33,28
14,古亭,2023-10-21,35,2,3,,17,25,35,31
13,萬華,2023-10-21,38,2,3,,22,38,34,33
12,中山,2023-10-21,35,2,3,,18,35,33,31
11,士林,2023-10-21,38,2,2,,10,12,38,29
10,淡水,2023-10-21,39,2,2,,18,15,39,23
9,林口,2023-10-21,37,0,3,,17,37,34,15
8,菜寮,2023-10-21,34,5,5,,19,25,34,18
7,新莊,2023-10-21,36,2,3,,16,35,34,36
6,板橋,2023-10-21,32,2,3,,16,27,32,31
5,土城,2023-10-21,36,2,3,,17,17,36,36
4,新店,2023-10-21,36,2,3,,15,25,36,26
3,萬里,2023-10-21,55,5,2,,55,10,45,30
2,汐止,2023-10-21,32,2,2,,18,28,32,23
1,基隆,2023-10-21,41,2,2,,22,20,41,27
85,大城,2023-10-20,67,2,2,,36,17,67,55
84,富貴角,2023-10-20,51,0,3,,34,17,51,44
83,麥寮,2023-10-20,60,8,2,,43,15,,60
80,關山,2023-10-20,31,2,2,,17,7,31,13
78,馬公,2023-10-20,64,0,2,,25,7,64,51
77,金門,2023-10-20,122,10,7,,63,52,122,119
75,馬祖,2023-10-20,43,2,3,,19,18,43,40
72,埔里,2023-10-20,70,2,3,,36,13,51,70
71,復興,2023-10-20,70,8,8,,41,45,,70
70,永和,2023-10-20,58,2,12,,25,57,,58
69,竹山,2023-10-20,77,2,2,,29,20,77,61
68,中壢,2023-10-20,69,5,9,,38,56,,69
67,三重,2023-10-20,62,5,12,,26,62,,49
66,冬山,2023-10-20,46,2,3,,18,20,46,20
65,宜蘭,2023-10-20,42,2,2,,16,18,42,32
64,陽明,2023-10-20,58,5,3,,17,13,58,
63,花蓮,2023-10-20,43,12,3,,20,13,43,21
62,臺東,2023-10-20,33,2,2,,18,13,33,17
61,恆春,2023-10-20,37,2,1,,15,2,37,20
60,潮州,2023-10-20,90,5,2,,35,13,90,72
59,屏東,2023-10-20,97,5,5,,48,37,97,77
58,小港,2023-10-20,72,8,5,,43,43,58,72
57,前鎮,2023-10-20,62,10,6,,43,45,,62
56,前金,2023-10-20,87,2,5,,42,40,87,64
54,左營,2023-10-20,90,5,6,,40,32,90,69
53,楠梓,2023-10-20,90,5,3,,44,43,90,61
52,林園,2023-10-20,87,12,3,,50,17,87,75
51,大寮,2023-10-20,77,12,5,,52,33,77,75
50,鳳山,2023-10-20,69,10,7,,45,43,,69
49,仁武,2023-10-20,97,15,5,,40,50,97,65
48,橋頭,2023-10-20,90,8,3,,42,33,90,68
47,美濃,2023-10-20,64,5,3,,36,23,64,62
46,臺南,2023-10-20,84,2,3,,41,37,84,64
45,安南,2023-10-20,77,5,3,,43,48,77,63
44,善化,2023-10-20,67,18,2,,25,25,67,58
43,新營,2023-10-20,61,5,3,,41,20,61,53
42,嘉義,2023-10-20,74,5,3,,36,22,74,60
41,臺西,2023-10-20,53,8,2,,39,17,,53
40,朴子,2023-10-20,64,12,2,,42,18,64,63
39,新港,2023-10-20,50,2,2,,,18,50,
38,崙背,2023-10-20,65,5,2,,46,17,54,65
37,斗六,2023-10-20,67,8,3,,38,18,67,58
36,南投,2023-10-20,64,2,3,,35,25,64,56
35,二林,2023-10-20,70,10,2,,53,17,54,70
34,線西,2023-10-20,64,8,3,,45,18,,64
33,彰化,2023-10-20,70,10,5,,45,35,46,70
32,西屯,2023-10-20,67,5,3,,42,30,46,67
31,忠明,2023-10-20,65,5,3,,36,42,46,65
30,大里,2023-10-20,63,8,5,,38,28,48,63
29,沙鹿,2023-10-20,57,5,3,,39,25,47,57
28,豐原,2023-10-20,70,10,3,,37,22,45,70
27,三義,2023-10-20,65,2,5,,35,27,44,65
26,苗栗,2023-10-20,52,5,3,,28,20,41,52
25,頭份,2023-10-20,47,5,3,,29,18,,47
24,新竹,2023-10-20,51,2,3,,23,25,40,51
23,竹東,2023-10-20,59,5,3,,24,15,41,59
22,湖口,2023-10-20,57,2,3,,27,20,42,57
21,龍潭,2023-10-20,65,2,5,,32,22,38,65
20,平鎮,2023-10-20,56,5,5,,34,38,34,56
19,觀音,2023-10-20,52,2,2,,29,15,44,52
18,大園,2023-10-20,50,8,3,,28,20,43,50
17,桃園,2023-10-20,69,2,5,,34,28,38,69
16,大同,2023-10-20,64,5,19,,26,64,,56
15,松山,2023-10-20,50,5,5,,20,50,34,42
14,古亭,2023-10-20,53,5,5,,23,35,33,53
13,萬華,2023-10-20,52,5,6,,27,50,29,52
12,中山,2023-10-20,54,2,7,,24,54,28,53
11,士林,2023-10-20,61,2,5,,24,53,34,61
